,date,hour,type,丰台花园
2274,20140419,11,PM2.5,52.0
2280,20140419,12,PCA,-37.72435851581444
2280,20140419,12,PM2.5,43.0
2286,20140419,13,PCA,-47.08216079516688
2286,20140419,13,PM2.5,42.0
2292,20140419,14,PCA,-47.71893586121051
2292,20140419,14,PM2.5,50.0
2298,20140419,15,PCA,-48.75661295520368
2298,20140419,15,PM2.5,48.0
2304,20140419,16,PCA,-28.346838500463736
2304,20140419,16,PM2.5,64.0
2310,20140419,17,PCA,-46.5433608010083
2310,20140419,17,PM2.5,47.0
2316,20140419,18,PCA,-43.72871620716232
2316,20140419,18,PM2.5,51.0
2322,20140419,19,PCA,-27.086975135636457
2322,20140419,19,PM2.5,64.0
2328,20140419,20,PCA,-9.85298285366765
2328,20140419,20,PM2.5,72.0
2334,20140419,21,PCA,10.761301593576485
2334,20140419,21,PM2.5,79.0
2340,20140419,22,PCA,32.717301206649225
2340,20140419,22,PM2.5,91.0
2346,20140419,23,PCA,39.440781736491154
2346,20140419,23,PM2.5,95.0
2352,20140420,0,PCA,44.12375423706802
2352,20140420,0,PM2.5,96.0
2358,20140420,1,PCA,49.928086410364536
2358,20140420,1,PM2.5,101.0
2364,20140420,2,PCA,53.67928690121692
2364,20140420,2,PM2.5,101.0
2370,20140420,3,PCA,54.203019400971336
2370,20140420,3,PM2.5,99.0
2376,20140420,4,PCA,61.900425042535964
2376,20140420,4,PM2.5,106.0
2382,20140420,5,PCA,62.995473605656585
2382,20140420,5,PM2.5,106.0
2388,20140420,6,PCA,62.345585731292225
2388,20140420,6,PM2.5,106.0
2394,20140420,7,PCA,58.44732547764636
2394,20140420,7,PM2.5,102.0
2400,20140420,8,PCA,62.22033537714082
2400,20140420,8,PM2.5,107.0
2406,20140420,9,PCA,64.35306806924241
2406,20140420,9,PM2.5,112.0
2412,20140420,10,PCA,14.64674070900635
2412,20140420,10,PM2.5,66.0
2418,20140420,11,PCA,-3.486011860936544
2418,20140420,11,PM2.5,53.0
2424,20140420,12,PCA,-36.71383940930131
2424,20140420,12,PM2.5,37.0
2430,20140420,13,PCA,-45.38220391386045
2430,20140420,13,PM2.5,55.5
2436,20140420,14,PCA,-35.89234837683038
2436,20140420,14,PM2.5,74.0
2442,20140420,15,PCA,-40.01927549921377
2442,20140420,15,PM2.5,67.0
