,date,hour,type,农展馆
2676,20140422,14,PM2.5,68.0
2682,20140422,15,PCA,-42.486605204953136
2682,20140422,15,PM2.5,50.0
2688,20140422,16,PCA,-37.89696148532594
2688,20140422,16,PM2.5,56.0
2694,20140422,18,PCA,-33.307317765698734
2694,20140422,18,PM2.5,62.0
2700,20140422,19,PCA,-31.500060780983308
2700,20140422,19,PM2.5,58.0
2706,20140422,20,PCA,-18.68058257832764
2706,20140422,20,PM2.5,64.0
2712,20140422,21,PCA,-5.557628730399204
2712,20140422,21,PM2.5,75.0
2718,20140422,22,PCA,-8.35563788761683
2718,20140422,22,PM2.5,63.0
2724,20140422,23,PCA,-5.815243899785946
2724,20140422,23,PM2.5,67.0
2730,20140423,0,PCA,4.586020193736967
2730,20140423,0,PM2.5,78.0
2736,20140423,1,PCA,6.822114132280276
2736,20140423,1,PM2.5,80.0
2742,20140423,2,PCA,11.80111288492213
2742,20140423,2,PM2.5,84.0
2748,20140423,3,PCA,22.34125221581008
2748,20140423,3,PM2.5,91.0
2754,20140423,4,PCA,32.41692371074189
